Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Bear Lake Glacier,Exists,6.10726,,60.166345,-149.257827,2014-12-01,52.53,AL,Alabama
Bear Lake Glacier,Exists,6.10726,,60.166345,-149.257827,2014-12-01,52.53,TX,Texas
Bear Lake Glacier,Exists,6.10726,,60.166345,-149.257827,2014-12-01,52.53,WI,Wisconsin
Bear Lake Glacier,Exists,6.10726,,60.166345,-149.257827,2014-12-01,52.53,CA,California
Barnard Glacier,Exists,2.47972,,61.17204,-147.933734,2014-12-01,52.53,AK,Alaska
First Branch Columbia Glacier,Exists,109.617,,61.223789,-147.102733,2014-12-01,52.53,AK,Alaska
Pedro Glacier,Exists,5.37601,,61.133449,-147.338056,2014-12-01,52.53,AK,Alaska
Sherman Glacier,Exists,44.8654,,60.564391,-145.034403,2014-12-01,52.53,AK,Alaska
Sherman Glacier,Exists,44.8654,,60.564391,-145.034403,2014-12-01,52.53,AL,Alabama
Sherman Glacier,Exists,44.8654,,60.564391,-145.034403,2014-12-01,52.53,NC,North Carolina
Sherman Glacier,Exists,44.8654,,60.564391,-145.034403,2014-12-01,52.53,NM,New Mexico
Sherman Glacier,Exists,44.8654,,60.564391,-145.034403,2014-12-01,52.53,IL,Illinois
Sherman Glacier,Exists,44.8654,,60.564391,-145.034403,2014-12-01,52.53,MD,Maryland
Sherman Glacier,Exists,44.8654,,60.564391,-145.034403,2014-12-01,52.53,SC,South Carolina
Sherman Glacier,Exists,44.8654,,60.564391,-145.034403,2014-12-01,52.53,NE,Nebraska
Excelsior Glacier,Exists,115.457,,60.058576,-148.766573,2014-12-01,52.53,FL,Florida
Excelsior Glacier,Exists,115.457,,60.058576,-148.766573,2014-12-01,52.53,AK,Alaska
Excelsior Glacier,Exists,115.457,,60.058576,-148.766573,2014-12-01,52.53,AL,Alabama
Excelsior Glacier,Exists,115.457,,60.058576,-148.766573,2014-12-01,52.53,TX,Texas
Excelsior Glacier,Exists,115.457,,60.058576,-148.766573,2014-12-01,52.53,WI,Wisconsin
Excelsior Glacier,Exists,115.457,,60.058576,-148.766573,2014-12-01,52.53,CA,California
Tommy Glacier,Exists,0.624934,,60.988874,-147.876789,2014-12-01,52.53,CA,California
Tommy Glacier,Exists,0.624934,,60.988874,-147.876789,2014-12-01,52.53,AK,Alaska
Learnard Glacier,Exists,3.49367,,60.799178,-148.722026,2014-12-01,52.53,CA,California
Learnard Glacier,Exists,3.49367,,60.799178,-148.722026,2014-12-01,52.53,AK,Alaska
Shephard Glacier,Exists,6.4079,,60.685068,-145.359056,2014-12-01,52.53,AK,Alaska
Shephard Glacier,Exists,6.4079,,60.685068,-145.359056,2014-12-01,52.53,AL,Alabama
Shephard Glacier,Exists,6.4079,,60.685068,-145.359056,2014-12-01,52.53,NC,North Carolina
Shephard Glacier,Exists,6.4079,,60.685068,-145.359056,2014-12-01,52.53,NM,New Mexico
Shephard Glacier,Exists,6.4079,,60.685068,-145.359056,2014-12-01,52.53,IL,Illinois
Shephard Glacier,Exists,6.4079,,60.685068,-145.359056,2014-12-01,52.53,MD,Maryland
Shephard Glacier,Exists,6.4079,,60.685068,-145.359056,2014-12-01,52.53,SC,South Carolina
Shephard Glacier,Exists,6.4079,,60.685068,-145.359056,2014-12-01,52.53,NE,Nebraska
Harriman Glacier,Exists,51.1153,,60.894604,-148.606258,2014-12-01,52.53,CA,California
Harriman Glacier,Exists,51.1153,,60.894604,-148.606258,2014-12-01,52.53,AK,Alaska
Applegate Glacier,Exists,1.55352,,60.451341,-148.591409,2014-12-01,52.53,CA,California
Applegate Glacier,Exists,1.55352,,60.451341,-148.591409,2014-12-01,52.53,AK,Alaska
Anderson Glacier,Exists,8.04314,,61.143,-146.75188,2014-12-01,52.53,AK,Alaska
Vassar Glacier,Exists,8.65049,,61.214221,-147.868711,2014-12-01,52.53,AK,Alaska
Goodwin Glacier,Exists,17.0361,,60.607077,-144.952333,2014-12-01,52.53,AK,Alaska
Goodwin Glacier,Exists,17.0361,,60.607077,-144.952333,2014-12-01,52.53,AL,Alabama
Goodwin Glacier,Exists,17.0361,,60.607077,-144.952333,2014-12-01,52.53,NC,North Carolina
Goodwin Glacier,Exists,17.0361,,60.607077,-144.952333,2014-12-01,52.53,NM,New Mexico
Goodwin Glacier,Exists,17.0361,,60.607077,-144.952333,2014-12-01,52.53,IL,Illinois
Goodwin Glacier,Exists,17.0361,,60.607077,-144.952333,2014-12-01,52.53,MD,Maryland
Goodwin Glacier,Exists,17.0361,,60.607077,-144.952333,2014-12-01,52.53,SC,South Carolina
Goodwin Glacier,Exists,17.0361,,60.607077,-144.952333,2014-12-01,52.53,NE,Nebraska
Baltimore Glacier,Exists,4.43757,,61.290914,-147.76073,2014-12-01,52.53,AK,Alaska
Amherst Glacier,Exists,10.0483,,60.994106,-147.82036,2014-12-01,52.53,CA,California
Amherst Glacier,Exists,10.0483,,60.994106,-147.82036,2014-12-01,52.53,AK,Alaska
Bryn Mawr Glacier,Exists,22.4508,,61.235958,-147.824043,2014-12-01,52.53,AK,Alaska
Tasnuna Glacier,Exists,26.116,,60.98867,-145.464692,2014-12-01,52.53,AK,Alaska
Tasnuna Glacier,Exists,26.116,,60.98867,-145.464692,2014-12-01,52.53,AL,Alabama
Tasnuna Glacier,Exists,26.116,,60.98867,-145.464692,2014-12-01,52.53,NC,North Carolina
Tasnuna Glacier,Exists,26.116,,60.98867,-145.464692,2014-12-01,52.53,NM,New Mexico
Tasnuna Glacier,Exists,26.116,,60.98867,-145.464692,2014-12-01,52.53,IL,Illinois
Tasnuna Glacier,Exists,26.116,,60.98867,-145.464692,2014-12-01,52.53,MD,Maryland
Tasnuna Glacier,Exists,26.116,,60.98867,-145.464692,2014-12-01,52.53,SC,South Carolina
Tasnuna Glacier,Exists,26.116,,60.98867,-145.464692,2014-12-01,52.53,NE,Nebraska
Contact Glacier,Exists,4.73414,,60.470617,-148.438639,2014-12-01,52.53,CA,California
Contact Glacier,Exists,4.73414,,60.470617,-148.438639,2014-12-01,52.53,AK,Alaska
Milk Glacier,Exists,1.88446,,61.044842,-149.067788,2014-12-01,52.53,AK,Alaska
Milk Glacier,Exists,1.88446,,61.044842,-149.067788,2014-12-01,52.53,KY,Kentucky
Rainy Glacier,Exists,4.48587,,60.649768,-148.543381,2014-12-01,52.53,CA,California
Rainy Glacier,Exists,4.48587,,60.649768,-148.543381,2014-12-01,52.53,AK,Alaska
Saddlebag Glacier,Exists,8.56501,,60.512821,-145.057749,2014-12-01,52.53,AK,Alaska
Saddlebag Glacier,Exists,8.56501,,60.512821,-145.057749,2014-12-01,52.53,AL,Alabama
Saddlebag Glacier,Exists,8.56501,,60.512821,-145.057749,2014-12-01,52.53,NC,North Carolina
Saddlebag Glacier,Exists,8.56501,,60.512821,-145.057749,2014-12-01,52.53,NM,New Mexico
Saddlebag Glacier,Exists,8.56501,,60.512821,-145.057749,2014-12-01,52.53,IL,Illinois
Saddlebag Glacier,Exists,8.56501,,60.512821,-145.057749,2014-12-01,52.53,MD,Maryland
Saddlebag Glacier,Exists,8.56501,,60.512821,-145.057749,2014-12-01,52.53,SC,South Carolina
Saddlebag Glacier,Exists,8.56501,,60.512821,-145.057749,2014-12-01,52.53,NE,Nebraska
Serpentine Glacier,Exists,25.7811,,61.142301,-148.277035,2014-12-01,52.53,CA,California
Serpentine Glacier,Exists,25.7811,,61.142301,-148.277035,2014-12-01,52.53,AK,Alaska
Scott Glacier,Exists,138.161,,60.641832,-145.348454,2014-12-01,52.53,AK,Alaska
Scott Glacier,Exists,138.161,,60.641832,-145.348454,2014-12-01,52.53,AL,Alabama
Scott Glacier,Exists,138.161,,60.641832,-145.348454,2014-12-01,52.53,NC,North Carolina
Scott Glacier,Exists,138.161,,60.641832,-145.348454,2014-12-01,52.53,NM,New Mexico
Scott Glacier,Exists,138.161,,60.641832,-145.348454,2014-12-01,52.53,IL,Illinois
Scott Glacier,Exists,138.161,,60.641832,-145.348454,2014-12-01,52.53,MD,Maryland
Scott Glacier,Exists,138.161,,60.641832,-145.348454,2014-12-01,52.53,SC,South Carolina
Scott Glacier,Exists,138.161,,60.641832,-145.348454,2014-12-01,52.53,NE,Nebraska
Beloit Glacier,Exists,25.5998,,60.631335,-148.686741,2014-12-01,52.53,CA,California
Beloit Glacier,Exists,25.5998,,60.631335,-148.686741,2014-12-01,52.53,AK,Alaska
Falling Glacier,Exists,13.1229,,60.449054,-148.520506,2014-12-01,52.53,CA,California
Falling Glacier,Exists,13.1229,,60.449054,-148.520506,2014-12-01,52.53,AK,Alaska
