,line_type,area,glac_id,anlys_time,db_area,min_elev,mean_elev,max_elev,src_date,glac_name,glac_stat,gone_date,release_dt,first_coordinate,lng,lat,cluster,closest_cluster_lat,closest_cluster_lng
57,dc,0,G219983E60046N,1192051362,73.4037,0,0,0,995500800,Hayden,e,e,1192067393,"-140.019668,59.978541",-140.019668,59.978541,38,59.872209067499995,-139.311546645
58,dc,0,G219931E60039N,1191538054,7.73568,0,0,0,995500800,Blossom Glacier,e,e,1192067393,"-140.090472,60.007745",-140.090472,60.007745,38,59.872209067499995,-139.311546645
59,dc,0,G220740E60158N,1185936604,2910.92,0,0,0,995500800,Hubbard Glacier,e,e,1185936838,"-139.513194,60.065286",-139.513194,60.065286,38,59.872209067499995,-139.311546645
60,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.01148,60.43403",-143.01148,60.43403,96,60.78060795389049,-143.07006938616715
61,dc,0,G216132E60534N,1175042977,349.102,0,0,0,934416000,Martin River Glacier,e,e,1177200000,"-144.01596,60.51844",-144.01596,60.51844,49,60.65700723287113,-143.89572442128875
62,dc,0,G215764E60620N,1175650747,382.882,0,0,0,934416000,Miles Glacier,e,e,1177210698,"-144.58396,60.67431",-144.58396,60.67431,3,60.65984135177865,-144.35095185177866
63,dc,0,G215764E60620N,1175650747,382.882,0,0,0,934416000,Miles Glacier,e,e,1177210698,"-144.39646,60.68102",-144.39646,60.68102,3,60.65984135177865,-144.35095185177866
64,dc,0,G215869E60697N,1175889976,40.0665,0,0,0,934416000,Van Cleve Glacier,e,e,1177210698,"-144.244764,60.695309",-144.244764,60.695309,3,60.65984135177865,-144.35095185177866
65,dc,0,G216167E60748N,1175480536,105.487,0,0,0,934416000,Wernicke Glacier,e,e,1177210698,"-144.223268,60.802183",-144.223268,60.802183,3,60.65984135177865,-144.35095185177866
66,dc,0,G216306E60753N,1175748175,164.449,0,0,0,934416000,Fan Glacier,e,e,1177210698,"-143.907576,60.874959",-143.907576,60.874959,49,60.65700723287113,-143.89572442128875
67,dc,0,G216306E60753N,1175748175,164.449,0,0,0,934416000,Fan Glacier,e,e,1177210698,"-143.65149,60.852059",-143.65149,60.852059,49,60.65700723287113,-143.89572442128875
68,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.29684,60.28597",-143.29684,60.28597,96,60.78060795389049,-143.07006938616715
69,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.29664,60.30065",-143.29664,60.30065,96,60.78060795389049,-143.07006938616715
70,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.32904,60.18656",-143.32904,60.18656,96,60.78060795389049,-143.07006938616715
71,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.27263,60.1828",-143.27263,60.1828,96,60.78060795389049,-143.07006938616715
72,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.20409,60.25778",-143.20409,60.25778,96,60.78060795389049,-143.07006938616715
73,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.32313,60.2648",-143.32313,60.2648,96,60.78060795389049,-143.07006938616715
74,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.34469,60.28098",-143.34469,60.28098,96,60.78060795389049,-143.07006938616715
75,dc,0,G216132E60534N,1175042977,349.102,0,0,0,934416000,Martin River Glacier,e,e,1177200000,"-143.8481,60.53583",-143.8481,60.53583,49,60.65700723287113,-143.89572442128875
76,dc,0,G216132E60534N,1175042977,349.102,0,0,0,934416000,Martin River Glacier,e,e,1177200000,"-143.93432,60.49456",-143.93432,60.49456,49,60.65700723287113,-143.89572442128875
77,dc,0,G216132E60534N,1175042977,349.102,0,0,0,934416000,Martin River Glacier,e,e,1177200000,"-143.93559,60.49837",-143.93559,60.49837,49,60.65700723287113,-143.89572442128875
78,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.91256,60.305313",-143.91256,60.305313,49,60.65700723287113,-143.89572442128875
79,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.878281,60.298798",-143.878281,60.298798,49,60.65700723287113,-143.89572442128875
80,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.877798,60.293049",-143.877798,60.293049,49,60.65700723287113,-143.89572442128875
81,dc,0,G216453E60499N,1145407146,741.556,0,0,0,1000080000,Steller Glacier,e,e,1146029076,"-143.875493,60.291522",-143.875493,60.291522,49,60.65700723287113,-143.89572442128875
82,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.55402,60.2314",-143.55402,60.2314,49,60.65700723287113,-143.89572442128875
83,dc,0,G217991E60521N,1175472779,3629.47,0,0,0,997833600,Bering Glacier,e,e,1175474257,"-143.53323,60.15856",-143.53323,60.15856,49,60.65700723287113,-143.89572442128875
