unique_glac_name
120
419
1063
428
781
263
273
929
97
482
188
595
600
94
164
617
Yentna Glacier
252
922
65
934
518
927
830
983
498
451
769
949
540
39
134
992
517
914
846
225
35
532
Casement Glacier
923
936
718
947
354
445
633
578
91
739
961
773
707
541
432
746
689
570
877
430
597
649
506
806
387
78
951
53
34
805
783
760
946
237
644
960
404
18
751
589
1070
227
124
298
513
530
426
431
698
138
464
651
1010
790
630
545
409
615
119
714
493
611
19
260
592
864
478
793
975
380
715
45
390
12
782
75
2
311
753
397
1007
626
919
529
528
920
834
123
16
843
800
601
926
208
523
637
281
829
136
636
862
542
527
950
1004
230
575
496
883
924
182
406
959
962
576
289
679
339
359
556
405
219
57
347
346
971
765
792
294
764
778
118
871
511
932
928
749
504
812
238
973
77
796
14
452
974
1017
272
824
331
742
10
994
784
982
361
84
972
301
723
247
835
337
702
162
804
215
221
521
711
635
307
985
1003
590
271
389
520
810
469
67
948
54
741
175
850
320
789
981
1013
938
269
880
251
457
58
316
997
412
101
310
370
976
639
60
485
993
642
455
484
940
583
966
621
995
844
990
378
766
525
61
986
137
494
752
290
213
524
856
624
55
641
847
1001
156
969
1108
915
533
811
163
879
774
437
444
979
809
448
356
191
996
656
909
128
958
808
680
229
392
670
453
1131
691
309
265
603
212
438
184
608
737
236
336
762
190
740
970
105
713
9
368
977
143
955
379
944
193
1115
756
957
487
330
788
214
234
1006
785
51
780
102
317
618
984
941
515
233
538
36
991
935
667
791
795
110
933
145
44
206
Tatina Glacier
371
440
424
117
869
902
552
286
288
5
394
704
33
285
828
115
363
254
817
646
634
593
197
1062
878
772
442
186
114
861
321
954
500
539
965
917
841
598
534
744
296
232
181
283
174
465
98
881
15
930
616
897
775
802
240
11
942
268
302
211
559
822
801
7
351
567
786
449
629
952
443
468
807
799
863
564
794
989
553
604
734
308
999
921
1005
250
372
779
274
1246
28
614
1203
1053
659
853
693
Willard Glacier
1154
1225
1147
854
686
1122
845
26
674
Rainbow Glacier
684
568
665
1002
1068
259
1111
1107
Scidmore Glacier
1135
1015
631
688
1049
Twin Glacier
1153
1243
1148
Sea Otter Glacier
1200
731
1064
732
1050
716
1151
1109
1224
708
1058
1158
1208
1263
1087
1165
1069
1012
470
1172
610
627
675
1140
1139
657
1040
1033
1071
1152
855
831
1057
825
1041
677
623
1161
1059
Konamoxt Glacier
1073
622
1067
1074
Maynard Glacier
692
1138
1133
1031
30
Toyatte Glacier
1150
1273
722
White Glacier
1011
827
1137
819
1075
1105
1144
1112
607
1236
724
725
1061
777
776
1146
672
1145
1163
690
1143
Dirt Glacier
1080
1171
701
816
1055
1043
605
1019
1226
666
709
535
249
436
37
875
104
758
967
125
357
WA
Cameron Glaciers
Fairchild Glacier
Cameron Glaciers WA
Hoh Glacier
Jeffers Glacier
Humes Glacier
Blue Glacier
Queets Glacier
Hubert Glacier
Lillian Glacier WA
Carrie Glacier
Ice River Glacier
Eel Glacier
Carrie Glacier WA
Riley Creek Glacier
Trident Glacier
508
McGinnis Glacier
South Glacier
Great Glacier
LeConte Glacier
Martin Glacier
Mendenhall Glacier
Split Thumb Icefall
Pegmatite Glacier
Fels Glacier
Tok Glacier
Gakona Glacier
107
1
WEDGE
50
64
112
46
29
80
BALTIMORE
109
73
87
113
106
111
450
514
146
355
410
43
461
736
199
329
516
116
42
210
196
69
13
126
581
488
4
325
571
479
147
3
441
8
726
41
586
23
712
127
495
195
391
512
417
462
628
31
228
209
345
717
130
287
340
40
710
20
183
335
759
411
17
728
63
327
458
207
312
262
154
22
152
505
463
738
131
47
21
6
768
176
Dawes Glacier
South Sawyer Glacier
Windy Glacier
Rex Glacier
Rasmuson Glacier
Heiden Glacier
Chistochina Glacier
Hole-In-The-Wall Glacier
Peters Glacier
Regal Glacier
Island Glacier
Root Glacier
Russell Glacier
Twaharpies Glacier
Sumdum Glacier
Soule Glacier
West Yakutat Glacier
Chitina Glacier
Chisana Glacier
Casey Glacier
Giffin Glacier
Turner Glacier
Cascading Glacier
Laughton Glacier
Dadina Glacier
Copper Glacier
MT
WY
CA
Vulture Glacier MT
DuNoir Glacier WY
McAllister Glacier
ID
Van Trump Glacier
OR
Hayden Glacier
Palmer Glacier
Winthrop Glacier
Powell Glacier
Vista Glacier
South Cascade Glacier
Lower Fremont Glacier
Ermine Glacier
West Nooksack Glacier
West Lynch
Nohokomeen Glacier
Hadley Glacier
J Glacier
Harrison Glacier
Sitkum Glacier
Lynch Glacier
Teton Glacier
Bastile Glacier
Swiftcurrent Glacier
Sarvant Glaciers
Chaney Glacier
Quest-Alb Glacier
Carter Glaciers
Milk Lake Glacier
Foss Glacier WA
Eliot Glacier
Swift Glacier
Beartooth Glacier
Sandalee Glacier
Rusk Glacier
Isella Glacier
Sahale Glacier
Dusty Glacier
Middle Teton Glacier
The Salamander Glacier
Katsuk Glacier
North Swiftcurrent Glacier
Pyramid Glacier
Suiattle Glacier
Milk Creek Glacier
Mount Fiske Glacier
Isabelle Glacier
Snow Creek Glacier
Whatcom Glacier
Vesper Glacier
Wyeth Glacier
Bend Glacier
Arikaree Glacier
Thayer Glacier OR
Fissure Glacier MT
Camp Kiser
The Turtle
Carver Glacier OR
Weasel Collar Glacier
Deming Glacier
Swan Glaciers MT
Packwood Glacier
Arapaho Glacier
Pinnacle Glacier
Flett Glacier
Goethe Glacier
Lost Creek Glacier
Sacagawea
Bolam Glacier
Dana Glacier
Benson Glacier
Bull Lake Glacier
Arts Knoll
Schoolroom Glacier
Lewis Glacier
Carver Glacier
Kennedy Glacier
Lava Glacier
Whitman Glacier
Triple Glaciers
Phantom Glacier
Mazama Glacier
Mount Watson East
Mountaineer Glacier
Conness Glacier
Meade Glacier
Toutle Glacier
Glisan Glacier
Stuart Glacier
Daniels Glacier WA
Miche Wabun Glacier
Connie Glacier
Edmunds Glacier
Inspiration Glacier
Matthes Glaciers CA
Stevens Glacier
Harrower Glacier
Pumpelly Glacier
Coalman Glacier
Helen Glacier
Grant Glacier
