glac_name,lat,lng
589,62.353629,-152.774191
590,62.323517,-152.800959
592,62.333574,-152.823341
593,62.321038,-152.813244
595,62.370909,-152.818853
597,62.357916,-152.919705
598,62.358277,-152.955933
6,62.127605,-152.568949
60,62.0553975,-149.2455145
600,62.34822,-152.902362
601,62.346604,-152.894067
603,62.372992,-152.637749
604,62.374503,-152.629919
605,59.236551,-138.041628
607,58.966022,-137.822387
608,60.6664075,-145.2759485
61,62.0278975,-149.27612850000003
610,58.934699,-137.731139
611,60.6860095,-145.3628325
614,60.6648285,-145.094675
615,61.21665833333333,-147.56066
616,60.612091,-145.08471600000001
617,60.5643565,-145.0860645
618,60.5708945,-145.10321449999998
621,62.33392,-152.520377
622,60.452432,-145.10972800000002
623,58.776945,-137.677596
624,62.323678,-152.526865
625,60.6369355,-145.104042
626,62.326384,-152.554395
627,58.966799,-137.644303
628,62.207185,-152.583915
629,62.319813,-152.670781
63,62.523565,-152.201327
630,58.950729,-137.624677
631,58.791311,-137.707223
633,62.321652,-152.4584125
634,62.312547,-152.473572
635,62.296131,-152.456176
636,62.285809,-152.416078
637,62.33249,-152.403302
639,60.5321495,-144.9986825
64,61.883610000000004,-149.0620455
640,62.31797,-152.371075
641,62.31524,-152.386581
642,60.526681499999995,-144.98506099999997
643,62.306423,-152.348815
644,62.298382,-152.28677
646,60.503181999999995,-144.93872149999999
648,60.514570500000005,-144.9292455
649,62.26331,-152.037447
65,62.874242,-151.118459
651,62.312838,-152.226492
652,62.32515,-152.199129
654,62.315949,-152.180717
656,60.4809635,-145.2164315
657,58.684595,-137.406531
658,60.478659,-145.0817515
659,58.684394,-137.453019
66,62.990187500000005,-150.966859
664,58.692309,-137.293595
665,58.612842,-137.328297
666,62.428324,-152.470205
667,62.418162,-152.476809
669,60.472687,-144.86884500000002
67,63.401837,-149.747318
670,60.466413,-144.8441235
672,58.480261,-137.122403
674,58.467882,-137.001606
675,58.481011,-136.993345
677,58.45901,-137.010193
679,62.189862,-152.590136
68,62.24615,-148.9245305
680,62.173302,-152.561269
684,58.526676,-136.581071
686,58.562261,-136.569421
688,58.572441,-136.664818
689,62.152007,-152.568773
69,62.713955,-151.871736
690,60.481893,-144.6177365
691,60.376547,-144.630407
692,58.607222,-136.703494
693,58.641422,-136.600344
698,62.152908,-152.49047
7,62.343353,-152.482178
700,62.156534,-152.452794
701,58.951611,-137.072468
702,60.5371405,-144.6891625
704,62.056628,-152.331213
707,61.47052366666666,-147.10007900000002
708,61.2024225,-144.1190155
709,61.222554,-144.1616445
710,63.084761,-150.398228
711,62.655973,-151.4075405
712,63.197568,-150.299
713,62.683279999999996,-151.3824295
714,62.194174,-152.437318
715,62.655613,-151.390942
716,60.8276745,-143.7432205
717,63.215724,-150.525883
718,62.6940685,-151.6184535
721,58.711966,-137.278353
722,60.712560499999995,-144.26566
723,61.30783233333333,-147.12824733333332
724,58.979823,-137.296097
725,60.867824,-144.103548
726,62.767278,-151.752063
728,62.623995,-152.142898
73,61.209046,-146.652142
731,58.936127,-136.476843
732,60.786474,-144.3099105
733,62.924761,-151.418956
734,62.929204,-151.406038
735,62.89724,-151.54631899999998
736,62.879608,-151.656392
737,62.807763,-150.751161
738,62.759432,-151.61699
739,62.959354000000005,-151.065492
740,63.133129,-150.584082
741,63.129673,-150.584791
742,62.9441705,-151.087216
743,63.125481,-150.577092
744,63.124454,-150.585029
746,62.962419,-150.901303
747,62.903228,-151.1442075
748,63.0065525,-150.70687900000001
749,62.78793,-151.51410399999997
75,61.77075766666667,-148.92121433333332
750,63.06598150000001,-150.784683
751,63.038152499999995,-150.86869000000002
752,63.040591500000005,-150.855407
753,63.0426845,-150.65224899999998
754,62.936829,-151.149297
756,62.88892,-151.070001
758,62.6911395,-151.792815
759,62.861812,-151.522239
760,62.766184,-151.233976
762,62.902287,-151.050177
764,62.636355,-152.092554
765,62.748665,-151.611527
766,62.746686,-151.74558150000001
767,62.924768,-150.987643
768,63.113973,-150.296722
769,62.721739,-151.618014
77,63.44139,-149.576575
772,62.9100915,-151.3255575
773,63.045678,-150.6867815
774,62.985492,-150.6785995
775,62.979980499999996,-150.6920275
776,60.991118,-143.195574
777,58.968637,-135.498033
778,62.973584,-150.64862
779,62.97243,-150.646663
78,63.436283,-149.583811
780,62.961348,-150.610756
781,62.957386,-150.615307
782,62.953568,-150.614742
783,62.974731,-150.607654
784,62.594424,-152.304681
785,62.747026,-152.137714
786,62.64585,-152.316255
787,63.193079,-150.026638
788,63.063648,-150.750985
789,61.0927885,-143.175196
790,63.060766,-150.757948
791,62.980427,-150.82434
792,62.924686,-151.440434
793,62.896833,-151.400554
794,62.884343,-151.399854
795,62.368816,-152.319806
796,62.364472,-152.336488
797,62.39744,-152.729529
798,62.203661,-152.53911
799,62.431762,-152.86237
8,62.202929,-152.543367
80,61.139311,-148.590016
800,62.432665,-152.855935
801,62.428459,-152.579382
802,63.058821,-150.873476
803,61.1275865,-143.4469155
804,61.123467500000004,-143.4378375
805,63.058205,-150.974084
806,61.1478745,-143.531455
807,63.054207,-151.010166
808,63.053637,-151.026455
809,63.05328,-150.991071
81,62.694118,-152.155737
810,63.049083,-150.975381
811,61.1701315,-143.6981415
812,63.180536,-150.885993
816,59.148888,-136.521309
817,61.2215815,-143.47017499999998
819,59.149209,-136.533712
822,62.698732,-151.958873
824,59.063851,-136.400811
825,59.070074,-136.390664
827,59.070887,-136.403509
828,63.249007,-150.017799
829,61.152832000000004,-143.2004475
830,61.139421999999996,-143.16960749999998
831,59.03661,-136.297003
834,62.693612,-151.073895
835,61.156223499999996,-143.332017
836,63.248966,-150.190404
837,59.082838,-136.558405
839,62.608782,-151.916312
84,62.567839,-151.404354
841,61.45264666666666,-146.77230566666665
843,61.0791055,-143.795617
844,63.115949,-151.428818
845,58.982432,-136.779272
846,63.075333,-151.352458
847,63.059594,-151.371506
850,63.12405,-151.106932
851,63.099652,-151.095753
852,63.150611,-151.16965
853,59.111013,-136.560898
854,59.108423,-136.57065
855,59.118065,-136.565767
856,63.160934,-151.071564
858,63.031546,-151.47716
861,63.011942,-151.554246
862,63.052581,-151.471493
863,63.071058,-151.4936
864,63.10829,-151.521475
869,63.19942,-151.005785
87,62.366936499999994,-148.656461
871,62.726185,-151.174432
875,63.113115,-151.215952
876,63.112704,-151.217679
877,63.090446,-151.099405
