Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Lower Fremont Glacier,Exists,0.767278,,43.127684,-109.594918,8/1/2006,56.8,AZ,Arizona
Lupfer Glacier,Exists,0.138495,,48.478272,-113.513419,8/1/2006,56.8,MT,Montana
Lyall Glacier,Gone,0.252318,1126224000,48.487257,-120.751216,8/1/2006,56.8,MA,Massachusetts
Lyall Glacier,Gone,0.252318,1126224000,48.487257,-120.751216,8/1/2006,56.8,MN,Minnesota
Lyall Glacier,Gone,0.252318,1126224000,48.487257,-120.751216,8/1/2006,56.8,IA,Iowa
Lyall Glacier,Gone,0.252318,1126224000,48.487257,-120.751216,8/1/2006,56.8,WA,Washington
Lyall Glacier,Gone,0.252318,1126224000,48.487257,-120.751216,8/1/2006,56.8,AR,Arkansas
Lyall Glacier,Gone,0.252318,1126224000,48.487257,-120.751216,8/1/2006,56.8,NY,New York
Lyell Glacier,Exists,0.368568,,37.744824,-119.270597,8/1/2006,56.8,CA,California
Lyman Glacier,Exists,2.50285,,46.230327,-121.479831,8/1/2006,56.8,WA,Washington
Lynch Glacier,Exists,0.878133,,47.569247,-121.188041,8/1/2006,56.8,WA,Washington
Maclaren Glacier,Exists,56.5313,,63.355406,-146.488742,7/1/2015,52.96,AK,Alaska
Maclure Glacier,Exists,0.263091,,37.747767,-119.278649,8/1/2006,56.8,CA,California
Mammoth Glacier,Exists,2.53801,,43.172909,-109.677813,8/1/2006,56.8,WY,Wyoming
Mammoth Glacier,Exists,2.53801,,43.172909,-109.677813,8/1/2006,56.8,AZ,Arizona
Marcus Baker Glacier,Exists,161.596,,61.419659,-147.885111,7/1/2015,52.96,AK,Alaska
Margerie Glacier,Exists,121.826,,59.047196,-137.077091,5/1/2006,46.77,AK,Alaska
Marquette Glacier,Exists,2.87143,,60.634954,-148.619097,12/1/2014,52.53,CA,California
Marquette Glacier,Exists,2.87143,,60.634954,-148.619097,12/1/2014,52.53,AK,Alaska
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,12/1/2014,52.53,AK,Alaska
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,12/1/2014,52.53,AL,Alabama
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,12/1/2014,52.53,NC,North Carolina
Marshall Glacier,Exists,10.139,,61.032318,-145.538066,12/1/2014,52.53,NM,New Mexico
